AccountZAnnualRevenue,AccountZBillingCountry,AccountZBillingState,AccountZIndustry,AccountZIsPersonAccount,AccountZName,AccountZType,AccountId,ActualVisitEndTime,ActualVisitStartTime,ApplicationZAccountZIndustry,ApplicationZAccountZIsPersonAccount,ApplicationZAccountZName,ApplicationZAccountZType,ApplicationZAccountId,ApplicationZAmountPaid,ApplicationZApplicationCaseId,ApplicationZApplicationCategory,ApplicationZApplicationSourceFlag,ApplicationZApplicationType,ApplicationZAppliedDate,ApplicationZBusinessLicenseZBusinessTypeZName,ApplicationZBusinessLicenseZBusinessTypeId,ApplicationZBusinessLicenseZIdentifier,ApplicationZBusinessLicenseZIssuer,ApplicationZBusinessLicenseZName,ApplicationZBusinessLicenseZPeriodEnd,ApplicationZBusinessLicenseZPeriodStart,ApplicationZBusinessLicenseZRegAuthTypeZName,ApplicationZBusinessLicenseZRegAuthTypeZRegulatoryAuthorityZName,ApplicationZBusinessLicenseZRegulatoryAuthorizationTypeId,ApplicationZBusinessLicenseZStatus,ApplicationZBusinessTypeZAuthorizationActivityType,ApplicationZBusinessTypeZIndustry,ApplicationZBusinessTypeZName,ApplicationZBusinessTypeId,ApplicationZCaseZReason,ApplicationZCaseZStatus,ApplicationZCaseZType,ApplicationZCategory,ApplicationZCreatedDate,ApplicationZId,ApplicationZLicensePermitNameId,ApplicationZLicenseTypeId,ApplicationZName,ApplicationZRegAuthTypeZDurationType,ApplicationZRegAuthTypeZIssuingDepartmentId,ApplicationZRegAuthTypeZName,ApplicationZRegAuthTypeZProcessingDuration,ApplicationZRegAuthTypeZRegulatoryAuthCategory,ApplicationZRegAuthTypeZRegulatoryAuthCode,ApplicationZRegAuthTypeZRegulatoryAuthorityZName,ApplicationZStatus,ApplicationZWasReturned,CaseZAccountZIndustry,CaseZAccountZIsPersonAccount,CaseZAccountZName,CaseZAccountZType,CaseZAccountId,CaseZCreatedDate,CaseZId,CaseZReason,CaseZStatus,CaseZSuppliedName,CaseZType,ContextId,CreatedDate,Id,InspectionContextSource,InspectionTypeZCreatedDate,InspectionTypeZName,Name,PlannedVisitEndTime,PlannedVisitStartTime,PublicComplaintZAccountZIndustry,PublicComplaintZAccountZIsPersonAccount,PublicComplaintZAccountZName,PublicComplaintZAccountZType,PublicComplaintZAccountId,PublicComplaintZBusinessName,PublicComplaintZComplaintSubType,PublicComplaintZComplaintType,PublicComplaintZCreatedDate,PublicComplaintZFirstName,PublicComplaintZId,PublicComplaintZIncidentDate,PublicComplaintZLastName,PublicComplaintZName,PublicComplaintZPriority,PublicComplaintZStatus,Status,UserZDepartment,UserZManagerId,UserZName,UserZUniqueUserName,UserZUserRoleId,UserZUsername,UserId,VisitPriority,VisitTypeId,VisitorZCountry,VisitorZDepartment,VisitorZFullPhotoUrl,VisitorZId,VisitorZManagerId,VisitorZName,VisitorZSmallPhotoUrl,VisitorZState,VisitorZUniqueUserName,VisitorZUserRoleId,VisitorZUserType,VisitorZUsername,VisitorId
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:34:58.000Z,0Z5Hr000000TXYEKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000262,,2009-11-16T06:31:51.000Z,,,,,,,,,,,,,,,,,Planned,,,Maria Johnson,Maria Johnson,,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/F,005Hr00000FakdzIAB,,Maria Johnson,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/T,,Maria Johnson,,Standard,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:34:58.000Z,0Z5Hr000000TXYHKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000265,,2018-03-19T20:22:33.000Z,,,,,,,,,,,,,,,,,Planned,,,Ian Price,Ian Price,00EHr000002oHdyMAE,iprice.bgthn0eod0fv@salesforce.com,005Hr00000FZuC8IAL,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr000000cCH5/F,005Hr00000FZuC8IAL,,Ian Price,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr000000cCH5/T,,Ian Price,00EHr000002oHdyMAE,Standard,iprice.bgthn0eod0fv@salesforce.com,005Hr00000FZuC8IAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:34:58.000Z,0Z5Hr000000TXYRKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000275,,2005-07-26T02:39:03.000Z,,,,,,,,,,,,,,,,,InProgress,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T17:03:51.000Z,0Z5Hr000000TXbrKAG,Individual Application,2023-11-07T15:01:48.000Z,Business Inspection,00000487,,2020-01-30T01:07:29.000Z,,,,,,,,,,,,,,,,,Completed,,,Ian Price,Ian Price,00EHr000002oHdyMAE,iprice.bgthn0eod0fv@salesforce.com,005Hr00000FZuC8IAL,,0fJHr000000L1WzMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr000000cCH5/F,005Hr00000FZuC8IAL,,Ian Price,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr000000cCH5/T,,Ian Price,00EHr000002oHdyMAE,Standard,iprice.bgthn0eod0fv@salesforce.com,005Hr00000FZuC8IAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T17:03:51.000Z,0Z5Hr000000TXbtKAG,Individual Application,2023-11-07T15:01:48.000Z,Deck Inspection,00000489,,2014-08-28T09:04:02.000Z,,,,,,,,,,,,,,,,,Planned,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1X0MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T17:02:41.000Z,0Z5Hr000000TXZnKAO,Individual Application,2023-11-07T15:01:48.000Z,Health & Safety Inspection,00000359,,1998-11-20T02:56:42.000Z,,,,,,,,,,,,,,,,,Completed,,,Maria Johnson,Maria Johnson,,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB,,0fJHr000000L1X2MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/F,005Hr00000FakdzIAB,,Maria Johnson,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/T,,Maria Johnson,,Standard,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:17:34.000Z,0Z5Hr000000TXWGKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000140,,2009-10-18T07:21:45.000Z,,,,,,,,,,,,,,,,,Planned,,,Maria Johnson,Maria Johnson,,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/F,005Hr00000FakdzIAB,,Maria Johnson,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/T,,Maria Johnson,,Standard,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:17:34.000Z,0Z5Hr000000TXWYKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000158,,2008-02-25T08:48:16.000Z,,,,,,,,,,,,,,,,,Completed,,,Maria Johnson,Maria Johnson,,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/F,005Hr00000FakdzIAB,,Maria Johnson,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/T,,Maria Johnson,,Standard,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:17:34.000Z,0Z5Hr000000TXWkKAO,Individual Application,2023-11-07T15:01:48.000Z,Safety Complaint Inspection,00000170,,1994-03-21T08:36:51.000Z,,,,,,,,,,,,,,,,,Planned,,,Maria Johnson,Maria Johnson,,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB,,0fJHr000000L1WyMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/F,005Hr00000FakdzIAB,,Maria Johnson,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtT/T,,Maria Johnson,,Standard,mjohnson.ano4vl7ogpyq@salesforce.com,005Hr00000FakdzIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T15:34:58.000Z,0Z5Hr000000TXXqKAO,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000238,,2016-04-03T17:31:40.000Z,,,,,,,,,,,,,,,,,Planned,,005Hr00000FZuCoIAL,Alan Lands,Alan Lands,00EHr000002oHdyMAE,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/F,005Hr00000FakdjIAB,005Hr00000FZuCoIAL,Alan Lands,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/T,,Alan Lands,00EHr000002oHdyMAE,Standard,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T17:03:51.000Z,0Z5Hr000000TXc6KAG,Individual Application,2023-11-07T15:01:48.000Z,Deck Inspection,00000502,,2010-11-21T18:47:06.000Z,,,,,,,,,,,,,,,,,InProgress,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1X0MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
