AccountZContactZId,AccountZName,AccountId,ActualVisitEndTime,ActualVisitStartTime,Actual_Visit_End_Time_Formatted,Actual_Visit_Start_Time_Formatted,AddressZCity,AddressZCitywithState,AddressZCountry,AddressZId,AddressZName,AddressZState,BLAZId,BLAZRegulatoryAuthorizationTypeZName,ContextId,CreatedDate,EmergencyRequestZIA_BLAZRegulatoryAuthorizationTypeZName,EmergencyRequestZId,IAZId,IAZRegulatoryAuthorizationTypeZName,Id,InspectionTypeZId,InspectionTypeZName,InstructionDescription,IsVisitComplete,LeadOrContactId,Name,OwnerId,PlaceId,PlannedVisitEndTime,PlannedVisitStartTime,Planned_Visit_End_Time_Formatted,Planned_Visit_Start_Time_Formatted,RegulatoryAuthorizationType,Status,StatusRemarks,VisitContext,VisitName,VisitPriority,VisitTypeId,VisitorZName,VisitorId
,,,2022-02-01T15:26:13.000Z,2022-02-01T15:25:38.000Z,2022-02-01 15:26:13,2022-02-01 15:25:38,,,,,,,,,0fhHr0000004GQ7IAM,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6tKAG,0fJHr000000L1WyMAK,Safety Complaint Inspection,,True,,,005Hr00000FakdjIAB,131Hr000000cOpJIAU,,2022-02-02T00:30:00.000Z,,2022-02-02 00:30:00,,Completed,,,00000042,,0fJHr000000L1WyMAK,Kaylee Kwan,005Hr00000FZuDYIA1
,,001Hr00001s8t8gIAA,2022-02-02T17:35:38.000Z,2021-04-13T09:53:42.000Z,2022-02-02 17:35:38,2021-04-13 09:53:42,,,,,,,0f0Hr000000XZttIAG,Building Permit,0f0Hr000000XZttIAG,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6uKAG,0fJHr000000L1WzMAK,Business Inspection,,True,,,005Hr00000FakdjIAB,131Hr000000cOnzIAE,,2021-03-29T19:00:00.000Z,,2021-03-29 19:00:00,Building Permit,Completed,,Business License Application,00000054,,0fJHr000000L1WzMAK,Alana Landsman,005Hr00000FakdjIAB
,,,,2021-04-11T10:00:28.000Z,,2021-04-11 10:00:28,,,,,,,0f0Hr000000XZuDIAW,Physician License,0f0Hr000000XZuDIAW,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6vKAG,0fJHr000000L1WzMAK,Business Inspection,,False,,,005Hr00000FakdjIAB,131Hr000000cOptIAE,,2021-08-04T19:00:00.000Z,,2021-08-04 19:00:00,Physician License,Planned,,Business License Application,00000060,,0fJHr000000L1WzMAK,Kaylee Kwan,005Hr00000FZuDYIA1
,,001Hr00001s8stfIAA,,,,,,,,,,,,,,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6wKAG,0fJHr000000L1X0MAK,Deck Inspection,,False,,,005Hr00000FakdjIAB,131Hr000000cOqdIAE,,2022-03-09T20:00:00.000Z,,2022-03-09 20:00:00,,Planned,,,00000079,,0fJHr000000L1X0MAK,,
003Hr00002XlMZjIAN,Astro Nomical,001Hr00001s8swxIAA,,,,,,,,,,,,,,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6xKAG,0fJHr000000L1X1MAK,Food Safety,,False,003Hr00002XlMZjIAN,Astro Nomical,005Hr00000FakdjIAB,131Hr000000cOnlIAE,,2022-04-18T19:00:00.000Z,,2022-04-18 19:00:00,,Planned,,,00000080,,0fJHr000000L1X1MAK,,
003Hr00002XlMZ1IAN,Department Of Health,001Hr00001s8swiIAA,,,,,,,,,,,,,,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6yKAG,0fJHr000000L1X2MAK,Health & Safety Inspection,,False,003Hr00002XlMZ1IAN,Department Of Health,005Hr00000FakdjIAB,131Hr000000cOoAIAU,,2022-04-18T19:00:00.000Z,,2022-04-18 19:00:00,,Planned,,,00000082,,0fJHr000000L1X2MAK,,
,Health and Life Sciences Associates,001Hr00001s8t08IAA,,2021-11-02T19:51:43.000Z,,2021-11-02 19:51:43,,,,,,,,,,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW70KAG,0fJHr000000L1X2MAK,Health & Safety Inspection,,False,,Health and Life Sciences Associates,005Hr00000FakdjIAB,131Hr000000cOoAIAU,,2021-09-20T19:00:00.000Z,,2021-09-20 19:00:00,,Planned,,,00000084,,0fJHr000000L1X2MAK,,
,,,,,,,,,,,,,0f0Hr000000XZtmIAG,Salon Establishment License,0f0Hr000000XZtmIAG,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW71KAG,0fJHr000000L1WvMAK,Salon Establishment Inspection,,False,,,005Hr00000FZuBdIAL,131Hr000000cOnkIAE,,2022-12-14T17:00:00.000Z,,2022-12-14 17:00:00,Salon Establishment License,Planned,,Business License Application,00000113,,0fJHr000000L1WvMAK,Jeremy Blankenship,005Hr00000FZuBdIAL
003Hr00002XlMYiIAN,Charles Green,001Hr00001s8ssDIAQ,,2023-11-20T14:44:17.000Z,,2023-11-20 14:44:17,Rockville,"Rockville , MD",US,130Hr000000PgbNIAS,A00001261,MD,,,0iTHr000000MHeMMAW,2023-11-20T14:38:33.000Z,,,0iTHr000000MHeMMAW,Food Delivery,0Z5Hr000000TWdzKAG,0fJHr000000L1X3MAK,Emergency Request Visit,,False,003Hr00002XlMYiIAN,Charles Green,005Hr00000FakdjIAB,130Hr000000PgbNIAS,,2023-11-20T20:00:00.000Z,,2023-11-20 20:00:00,Food Delivery,InProgress,,Individual Application,00000121,,0fJHr000000L1X3MAK,Kaylee Kwan,005Hr00000FZuDYIA1
,Dr. Ashlee Dyer DVM,001Hr00001rOTahIAG,,,,,Rockville,"Rockville , MD",United States,130Hr000000PefdIAC,A00000194,MD,,,0fhHr0000004HQ3IAM,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6fKAG,0fJHr000000L1WyMAK,Safety Complaint Inspection,Please leave at the door,False,,Dr. Ashlee Dyer DVM,005Hr00000FakdjIAB,130Hr000000PefdIAC,2022-01-31T18:30:00.000Z,2022-01-31T18:00:00.000Z,2022-01-31 18:30:00,2022-01-31 18:00:00,,Planned,,,00000029,Medium,0fJHr000000L1WyMAK,Kaylee Kwan,005Hr00000FZuDYIA1
003Hr00002XlMYbIAN,Patrizia Aiuti,001Hr00001s8ssAIAQ,2022-06-14T05:36:48.000Z,2022-06-14T05:34:46.000Z,2022-06-14 05:36:48,2022-06-14 05:34:46,,,,,,,0f0Hr000000XZuDIAW,Physician License,0f0Hr000000XZuDIAW,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6iKAG,0fJHr000000L1WzMAK,Business Inspection,,False,003Hr00002XlMYbIAN,Patrizia Aiuti,005Hr00000FZuBWIA1,131Hr000000cP7LIAU,,2024-06-04T19:00:00.000Z,,2024-06-04 19:00:00,Physician License,Abandoned,,Business License Application,00000100,High,0fJHr000000L1WzMAK,Alana Landsman,005Hr00000FakdjIAB
003Hr00002XlMYiIAN,Charles Green,001Hr00001s8ssDIAQ,,,,,Rockville,"Rockville , MD",United States,130Hr000000PefcIAC,A00000199,MD,,,,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6eKAG,0fJHr000000L1X3MAK,Emergency Request Visit,,False,003Hr00002XlMYiIAN,Charles Green,005Hr00000FakdjIAB,130Hr000000PefcIAC,,2024-04-16T16:00:00.000Z,,2024-04-16 16:00:00,,Planned,,,00000027,Medium,0fJHr000000L1X3MAK,Kaylee Kwan,005Hr00000FZuDYIA1
,Health and Life Sciences Associates,001Hr00001s8t08IAA,,2021-07-15T11:15:18.000Z,,2021-07-15 11:15:18,,,,,,,0f0Hr000000XZuDIAW,Physician License,0f0Hr000000XZuDIAW,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6zKAG,0fJHr000000L1X2MAK,Health & Safety Inspection,,False,,Health and Life Sciences Associates,005Hr00000FakdjIAB,131Hr000000cOoAIAU,,2024-06-18T19:00:00.000Z,,2024-06-18 19:00:00,Physician License,Planned,,Business License Application,00000083,,0fJHr000000L1X2MAK,Kaylee Kwan,005Hr00000FZuDYIA1
,,001Hr00001s8sz8IAA,2022-02-01T16:14:19.000Z,2021-04-20T14:56:58.000Z,2022-02-01 16:14:19,2021-04-20 14:56:58,,,,,,,0f0Hr000000XZtoIAG,Salon Establishment License,0f0Hr000000XZtoIAG,2023-11-07T15:01:48.000Z,,,,,0Z5Hr000000TW6kKAG,0fJHr000000L1WvMAK,Salon Establishment Inspection,,True,,,005Hr00000FakdjIAB,131Hr000000cOnkIAE,,2024-02-01T20:00:00.000Z,,2024-02-01 20:00:00,Salon Establishment License,Completed,,Business License Application,00000043,,0fJHr000000L1WvMAK,Alana Landsman,005Hr00000FakdjIAB
